order_id,timestamp,month,hour,product_name,category,unit_price,unit_cost,quantity,revenue,gross_profit,delivery_mins,refunded,rating
BLK100000,2024-11-23 08:47:00,Nov,8,Fortune Sunflower Oil,Grocery,165,120,1,165,45,10.4,False,3
BLK100001,2024-10-06 07:27:00,Oct,7,Amul Milk 1L,Dairy & Eggs,54,38,1,54,16,9.1,False,5
BLK100002,2024-01-14 15:45:00,Jan,15,Kurkure Masala Munch,Snacks,20,11,1,20,9,10.8,False,4
BLK100003,2024-01-04 19:10:00,Jan,19,Pampers Diapers S,Baby & Kids,699,510,1,699,189,12.6,False,5
BLK100004,2024-06-21 07:24:00,Jun,7,Maggi 2-Min Noodles,Snacks,14,8,1,14,6,8.9,False,4
BLK100005,2024-01-23 18:34:00,Jan,18,Maggi 2-Min Noodles,Snacks,14,8,5,70,30,8.9,False,5
BLK100006,2024-11-17 16:55:00,Nov,16,Dove Soap 100g,Personal Care,55,34,2,110,42,12.7,False,2
BLK100007,2024-04-26 19:05:00,Apr,19,Aashirvaad Atta 5kg,Grocery,248,185,3,744,189,11.0,False,5
BLK100008,2024-07-05 08:22:00,Jul,8,Tata Salt 1kg,Grocery,22,14,2,44,16,8.4,False,5
BLK100009,2024-02-06 16:10:00,Feb,16,Kurkure Masala Munch,Snacks,20,11,2,40,18,10.5,False,4
BLK100010,2024-11-23 18:14:00,Nov,18,Sprite 750ml,Beverages,42,26,3,126,48,8.4,False,4
BLK100011,2024-01-17 19:25:00,Jan,19,Fortune Sunflower Oil,Grocery,165,120,1,165,45,8.4,False,5
BLK100012,2024-06-10 09:31:00,Jun,9,Colgate Toothpaste,Personal Care,74,46,4,296,112,9.9,False,4
BLK100013,2024-03-12 10:35:00,Mar,10,Kurkure Masala Munch,Snacks,20,11,1,20,9,5.4,False,5
BLK100014,2024-07-23 12:08:00,Jul,12,Onions 1kg,Fruits & Veggies,34,22,1,34,12,5.8,False,5
BLK100015,2024-03-19 17:50:00,Mar,17,Pampers Diapers S,Baby & Kids,699,510,2,1398,378,8.2,False,5
BLK100016,2024-08-27 15:35:00,Aug,15,Amul Milk 500ml,Dairy & Eggs,28,20,2,56,16,7.3,False,5
BLK100017,2024-05-16 19:21:00,May,19,Maggi 2-Min Noodles,Snacks,14,8,1,14,6,10.1,False,1
BLK100018,2024-05-14 22:48:00,May,22,Coca-Cola 750ml,Beverages,45,28,2,90,34,7.5,False,5
BLK100019,2024-11-23 14:12:00,Nov,14,Parle-G Biscuits,Snacks,10,6,1,10,4,6.4,False,5
BLK100020,2024-09-28 21:38:00,Sep,21,Sprite 750ml,Beverages,42,26,1,42,16,12.5,False,4
BLK100021,2024-06-06 10:15:00,Jun,10,Red Bull 250ml,Beverages,125,82,4,500,172,8.9,False,5
BLK100022,2024-02-05 22:34:00,Feb,22,Parle-G Biscuits,Snacks,10,6,1,10,4,9.5,False,5
BLK100023,2024-05-15 15:38:00,May,15,Pampers Diapers S,Baby & Kids,699,510,5,3495,945,6.4,False,5
BLK100024,2024-12-19 09:19:00,Dec,9,Colgate Toothpaste,Personal Care,74,46,5,370,140,8.3,False,4
BLK100025,2024-09-21 13:15:00,Sep,13,Aashirvaad Atta 5kg,Grocery,248,185,1,248,63,9.6,True,5
BLK100026,2024-10-28 09:04:00,Oct,9,Amul Milk 1L,Dairy & Eggs,54,38,1,54,16,7.0,False,5
BLK100027,2024-02-06 14:17:00,Feb,14,Banana Dozen,Fruits & Veggies,48,30,1,48,18,10.2,False,5
BLK100028,2024-10-19 16:15:00,Oct,16,Banana Dozen,Fruits & Veggies,48,30,3,144,54,8.1,False,3
BLK100029,2024-08-08 12:26:00,Aug,12,Tomatoes 500g,Fruits & Veggies,25,16,3,75,27,8.8,False,5
BLK100030,2024-11-26 07:25:00,Nov,7,Sprite 750ml,Beverages,42,26,3,126,48,8.1,False,4
BLK100031,2024-10-01 13:27:00,Oct,13,Coca-Cola 750ml,Beverages,45,28,1,45,17,13.3,False,5
BLK100032,2024-08-14 19:54:00,Aug,19,Kurkure Masala Munch,Snacks,20,11,1,20,9,9.4,False,5
BLK100033,2024-01-08 22:59:00,Jan,22,Aashirvaad Atta 5kg,Grocery,248,185,1,248,63,7.2,False,4
